region,NAVR,num,anat,n,timepoint,hemisphere,NAVR_CI_low,NAVR_CI_high
BrainSegVolNotVent,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,,0.21320630937400922,0.2248991191145593
WhiteSurfArea,0.2930162643067325,0.00590778162543464,0.02016195803810505,212,hc,,0.2852992181918717,0.30094579772903385
bankssts,0.7708958087759864,0.03729191119534976,0.04837477486686709,212,hc,,0.7505930500873094,0.7917575998279747
caudalanteriorcingulate,0.6824656686266513,0.044013430368736145,0.06449178675508449,212,hc,,0.6644918573467149,0.7009343851729906
caudalmiddlefrontal,0.6564998701310657,0.026794709743929036,0.0408144935940043,212,hc,,0.6392099091652875,0.6742659066828504
cuneus,0.6674668318722438,0.025979148143557725,0.038922006162742565,212,hc,,0.6498880386476256,0.6855296536208281
eTIV,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,,0.003714463657767505,0.003918174875160576
entoinalarea,0.7790585984364884,0.08463642416471327,0.10863935567179692,212,hc,,0.758540859789668,0.8001412888763837
frontalpole,0.7924651147428924,0.06625310259646564,0.08360380963641638,212,hc,,0.7715942943146872,0.8139106089997696
fusiform,0.5482362424621587,0.021762475050068078,0.03969543303509381,212,hc,,0.5337975751242608,0.5630724755914224
inferiorparietal,0.44156491231756234,0.01730845109291702,0.03919797658304249,212,hc,,0.4299356029373431,0.4535144323847228
inferiortemporal,0.45277025979454505,0.025601012942293142,0.056543053322252644,212,hc,,0.44084583989062326,0.4650230161941236
insula,0.8613528817885457,0.05086196459421413,0.059048928342356526,212,hc,,0.8386677932128065,0.8846625997002724
isthmuscingulate,0.7085198623905238,0.0338574441677064,0.047786160931992006,212,hc,,0.6898598727674261,0.7276936510622297
lateraloccipital,0.44424571702291166,0.015749481514233395,0.03545218538014881,212,hc,,0.43254580441667334,0.4562677843616716
lateralorbitofrontal,0.7487515928971683,0.04752907583006415,0.06347776255962059,212,hc,,0.7290320371085712,0.7690141226749158
lingual,0.5397191477272579,0.02096473327793971,0.03884378267145349,212,hc,,0.5255047915312325,0.5543248933526245
medialorbitofrontal,0.7782458881232417,0.04569758241144089,0.05871869432120186,212,hc,,0.7577495534861276,0.7993065851983429
middletemporal,0.5228745341776183,0.02052768177068179,0.03925928770458847,212,hc,,0.5091038074840615,0.5370244350516922
paracentral,0.5369062409070956,0.02247307325071159,0.04185660649565862,212,hc,,0.5227659670549271,0.5514358643462174
parahippocampal,0.8233744200832201,0.044906767681024466,0.054539911109317246,212,hc,,0.8016895542802506,0.8456563742899781
parsopercularis,0.6787887295919084,0.025936701991810782,0.03821027200525865,212,hc,,0.6609117563088653,0.6971579417266521
parsorbitalis,0.7429309321475321,0.037590127004623906,0.05059706815001642,212,hc,,0.7233646726530168,0.7630359446486761
parstriangularis,0.6457691165431185,0.028109844299586607,0.04352924842560149,212,hc,,0.6287617669213943,0.6632447601045228
pericalcarine,0.6640824714533505,0.03564134229946109,0.053670054295304144,212,hc,,0.6465928107056742,0.6820537064802277
postcentral,0.46978237223886443,0.018690019628496014,0.03978442089988198,212,hc,,0.45740991148453247,0.4824955062032527
posteriorcingulate,0.6636906950542585,0.030058501717092533,0.04528992487175848,212,hc,,0.6462113523568298,0.6816513279254566
precentral,0.4222232636825332,0.013993884292036844,0.03314332841346883,212,hc,,0.4111033471676114,0.43364936485464783
precuneus,0.4637508642901945,0.014579592449495232,0.03143841569289664,212,hc,,0.45153725282394613,0.4763007750834083
rostralanteriorcingulate,0.6360318222770007,0.05389087395784077,0.08472983909030034,212,hc,,0.6192809196790053,0.6532439575976299
rostralmiddlefrontal,0.4651925556352328,0.02375779059090237,0.05107087442201321,212,hc,,0.4529409749503836,0.47778148112181923
superiorfrontal,0.5633349644928874,0.016824411810973442,0.02986573330508382,212,hc,,0.5484986484631592,0.5785797954904638
superiorparietal,0.4447150703310828,0.016913117728660037,0.03803135728246967,212,hc,,0.43300279656417007,0.45674983919258183
superiortemporal,0.5797784160168369,0.01543877625305165,0.0266287530314052,212,hc,,0.5645090357201881,0.5954682356185292
supramarginal,0.48867130957502386,0.01887076555094328,0.03861647938233649,212,hc,,0.4758013788224693,0.5018956112736442
temporalpole,0.6997977455219745,0.07062910478886739,0.10092788272157922,212,hc,,0.681367466622454,0.718735498431686
transversetemporal,0.7414185878511772,0.03914055922556547,0.05279144584033822,212,hc,,0.721892158332326,0.7614826736663151
