region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,,0.22155070553009681,0.23044070590102894
bankssts,0.7092811039892453,0.047052308540851816,0.06633802631455027,390,hc & pd,,0.6954676302425946,0.723374142551074
caudalanteriorcingulate,0.7055666364020353,0.0516913951256398,0.07326224407269988,390,hc & pd,,0.6918255030860124,0.7195858704671014
caudalmiddlefrontal,0.5331279966796146,0.029096954284517206,0.054577802077055676,390,hc & pd,,0.5227451603904217,0.5437209666224743
cuneus,0.5413793909128669,0.029728288003745173,0.05491211616610991,390,hc & pd,,0.530835856112219,0.5521363116736238
eTIV,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,,0.004294075562403803,0.0044663807385540745
entoinalvolume,0.6884384780222953,0.10651606871920928,0.15472125995223604,390,hc & pd,,0.67503092100596,0.7021173846837676
frontalpole,0.6593098377371979,0.08293582640509924,0.12579188366086175,390,hc & pd,,0.6464695701997317,0.6724099737977298
fusiform,0.5532416886544157,0.028669717598125723,0.05182132544612769,390,hc & pd,,0.5424671318548646,0.5642343069666275
inferiorparietal,0.4498697704492829,0.01853281671771444,0.04119595921994448,390,hc & pd,,0.4411084144388637,0.45880844368769885
inferiortemporal,0.4401721819807294,0.026835352027146632,0.060965579211276634,390,hc & pd,,0.43159968957172684,0.44891816929042766
insula,0.7832721292441592,0.03545693831176604,0.045267713465026796,390,hc & pd,,0.7680176568876513,0.7988353301524568
isthmuscingulate,0.7378337066882837,0.032801122119421315,0.044455982184179295,390,hc & pd,,0.7234641619768726,0.7524940702903751
lateraloccipital,0.43639432633357017,0.018589903822481713,0.04259886689789821,390,hc & pd,,0.4278954088577037,0.4450652496594446
lateralorbitofrontal,0.6246000049448052,0.03479613828033668,0.05570947487170058,390,hc & pd,,0.6124357223748387,0.6370104750756139
lingual,0.4421847036608997,0.020243614586017086,0.0457809020041123,390,hc & pd,,0.43357301675589655,0.4509706787067517
medialorbitofrontal,0.7059077207875138,0.04047107858070772,0.05733196760556465,390,hc & pd,,0.6921599447452464,0.7199337320180371
middletemporal,0.5031683893664838,0.02430468346310562,0.04830327973048253,390,hc & pd,,0.49336902590174975,0.513166077835205
paracentral,0.5747905338514179,0.02716653224480214,0.04726336055462012,390,hc & pd,,0.5635963064787678,0.5862113162647402
parahippocampal,0.7647592256972355,0.04699109125087858,0.061445602317561486,390,hc & pd,,0.7498652979903474,0.7799545850514429
parsopercularis,0.6993151035807615,0.03265044475794983,0.046689174294630605,390,hc & pd,,0.6856957208429189,0.713210123011284
parsorbitalis,0.6332837512094484,0.040532648991459475,0.06400393017198061,390,hc & pd,,0.620950349935523,0.6458667627632282
parstriangularis,0.6278207054930286,0.031668041013617344,0.05044121790909776,390,hc & pd,,0.6155936987616282,0.6402951692319667
pericalcarine,0.5132452106537871,0.04204233650675965,0.08191471763215259,390,hc & pd,,0.503249597908593,0.5234431202057769
postcentral,0.4268187746912794,0.01891360450085632,0.044312962836596505,390,hc & pd,,0.4185063441110549,0.43529943689531286
posteriorcingulate,0.6445762559711424,0.031480269265563784,0.048838704457294116,390,hc & pd,,0.6320229295967424,0.6573836435927056
precentral,0.4962016826601386,0.018419091972385785,0.037120172333235515,390,hc & pd,,0.4865379980111061,0.5060609463693262
precuneus,0.4904452125005401,0.020270911818189217,0.04133165397789849,390,hc & pd,,0.48089363692783255,0.5001900982071515
rostralanteriorcingulate,0.5597162158996694,0.05065117426390827,0.090494384163041,390,hc & pd,,0.5488155656350291,0.5708374796271104
rostralmiddlefrontal,0.5180780874869239,0.0277966939235708,0.053653483123376415,390,hc & pd,,0.507988352937441,0.5283720237329718
superiorfrontal,0.47985498888522676,0.018442431570829577,0.03843334340166816,390,hc & pd,,0.47050966126563476,0.4893894524771794
superiorparietal,0.4969145903019319,0.02350103589761124,0.04729391399703457,390,hc & pd,,0.4872370215511825,0.5067880191070601
superiortemporal,0.4660494072519622,0.019996556096430244,0.042906515457961786,390,hc & pd,,0.4569729476994535,0.47530956127436363
supramarginal,0.6195328793667599,0.025822635557282963,0.04168081536475824,390,hc & pd,,0.6074672806694494,0.6318426684054497
temporalpole,0.6141361907108578,0.10904089739560802,0.1775516555528083,390,hc & pd,,0.6021756942313391,0.6263387504142304
transversetemporal,0.5972499811293576,0.039175590349324586,0.06559328855104576,390,hc & pd,,0.5856183489201862,0.6091170208231644
