region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.04862691627360907,33.205805603859126,682.8688337343873,192,hc & pd,0.04728194352902838,0.05001082612423523
4th-Ventricle,0.0649075715682805,41.54027654072765,639.9912296368803,192,hc & pd,0.06311229188850288,0.0667548247884547
5th-Ventricle,0.8384403775558538,0.4666341563767443,0.5565501958970945,192,hc & pd,0.815249940197592,0.8623021805773213
Brain-Stem,0.07646946653636413,199.2620256774565,2605.772404371356,192,hc & pd,0.07435439619743224,0.07864576838977276
BrainSegVol,0.02493766350051125,2854.705831085795,114473.66875518512,192,hc & pd,0.02424791222093205,0.025647383154041654
BrainSegVol-to-eTIV,0.05548500903964576,0.0018274471281856848,0.032935871505038725,192,hc & pd,0.053950348184919956,0.05706409849166846
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.025353285256516835,0.026816552916513657
CC_Anterior,0.21471890816670178,34.77187745087017,161.941385357056,192,hc & pd,0.20877999405573083,0.22082975448184972
CC_Central,0.24731908476757183,30.468340238533273,123.19445653442853,192,hc & pd,0.24047848179050094,0.2543577239387636
CC_Mid_Anterior,0.26665113709315236,30.76838044317825,115.38814639455137,192,hc & pd,0.2592758285359782,0.27423996162867315
CC_Mid_Posterior,0.26732968058627843,30.245370724135366,113.13884286175968,192,hc & pd,0.25993560418252454,0.274937816299562
CC_Posterior,0.3269883811240914,57.51043666571112,175.8791442925491,192,hc & pd,0.31794420365801684,0.33629438850345555
CSF,0.15263011505525473,45.76345802826889,299.83242829700896,192,hc & pd,0.1484085159804447,0.15697392987868838
CerebralWhiteMatterVol,0.03420928139234805,1906.7035927571476,55736.44096434133,192,hc & pd,0.03326308626811866,0.035182868967495326
CortexVol,0.029082923556971407,1331.87147722369,45795.65306131095,192,hc & pd,0.028278518455550666,0.029910616272854025
EstimatedTotalIntraCranialVol,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209159,0.0006099657281230911
Left-Accumbens-area,0.268207295958331,24.894737517992507,92.8190168318918,192,hc & pd,0.2607889455753473,0.2758404083851616
Left-Amygdala,0.20234225102478948,50.01094287785475,247.16015871409763,192,hc & pd,0.19674566309447183,0.20810086077942555
Left-Caudate,0.09735875529156338,43.999326840531005,451.9298414278697,192,hc & pd,0.09466590774234461,0.10012956106782478
Left-Cerebellum-Cortex,0.07162069283162464,414.7127743934495,5790.40439288141,192,hc & pd,0.06963973481108077,0.07365899980056045
Left-Cerebellum-White-Matter,0.21835797356450795,464.20866489105515,2125.906635389787,192,hc & pd,0.21231840647878827,0.2245723867688816
Left-Hippocampus,0.12754477412432613,58.08908266343588,455.4407114070601,192,hc & pd,0.12401701094177736,0.13117466643156953
Left-Inf-Lat-Vent,0.08954121708836348,33.542720413054354,374.6064829558082,192,hc & pd,0.08706459496775015,0.09208953768653584
Left-Lateral-Ventricle,0.012301743749724958,105.98231668046483,8615.227144756156,192,hc & pd,0.011961489599922421,0.012651848293869426
Left-Pallidum,0.19192964762051978,51.10064850041985,266.2467687194176,192,hc & pd,0.18662106207349272,0.19739191729180056
Left-Putamen,0.13831360176656787,80.88246117447852,584.775901584748,192,hc & pd,0.1344879833881764,0.14224997220970495
Left-Thalamus,0.1571791632626792,136.91696836565694,871.088543313086,192,hc & pd,0.15283174198235763,0.16165244285804709
Left-VentralDC,0.1575339257742855,68.3832778288566,434.08603888178425,192,hc & pd,0.15317669211132742,0.16201730182182572
Left-WM-hypointensities,,0.0,0.0,192,hc & pd,,
Left-choroid-plexus,0.20421652853172373,45.688116125839606,223.7238898062174,192,hc & pd,0.1985680999264099,0.21002847975448946
Left-non-WM-hypointensities,,0.0,0.0,192,hc & pd,,
Left-vessel,0.21651574071166368,8.214882035609175,37.94126934424145,192,hc & pd,0.21052712797728115,0.22267772443073225
MaskVol,0.016722639441014524,2641.133373025789,157937.59007612482,192,hc & pd,0.016260107658430126,0.01719856156860067
MaskVol-to-eTIV,0.047477218633262576,0.0017692817879128423,0.03726591065874449,192,hc & pd,0.04616404539622363,0.04882840837717325
Optic-Chiasm,0.36711895673714273,14.054020871061448,38.28192637059636,192,hc & pd,0.35696480696436894,0.3775670702412241
Right-Accumbens-area,0.23642636760486146,22.07911261491683,93.38684529391227,192,hc & pd,0.22988704648608976,0.24315500277545532
Right-Amygdala,0.19132694186594984,46.478569996400026,242.92747034531337,192,hc & pd,0.18603502656813903,0.19677205868250125
Right-Caudate,0.1355121461236447,61.32217323651142,452.5216003926284,192,hc & pd,0.13176401325685103,0.13936878784126444
Right-Cerebellum-Cortex,0.0639649867251161,388.3147988620888,6070.739927311132,192,hc & pd,0.06219577801632865,0.06578541421687753
Right-Cerebellum-White-Matter,0.2465500857234305,487.9186780273417,1978.9840129062793,192,hc & pd,0.23973075250463832,0.25356683937454694
Right-Hippocampus,0.13498180811268407,62.18291606800982,460.67627139872764,192,hc & pd,0.1312483438743953,0.1388233565434213
Right-Inf-Lat-Vent,0.08748223251371416,30.095616991504908,344.01976409080515,192,hc & pd,0.08506255988417763,0.0899719549268996
Right-Lateral-Ventricle,0.0126115648267623,99.39670312352882,7881.39334720816,192,hc & pd,0.01226274133026364,0.012970486801114166
Right-Pallidum,0.2136463858594709,54.31789245677259,254.2420375531229,192,hc & pd,0.20773713666212648,0.21972670845854272
Right-Putamen,0.18507044423820526,105.65403435155525,570.8855067941985,192,hc & pd,0.17995157751987875,0.19033750270022856
Right-Thalamus,0.16791053585424087,137.50204503490866,818.9006385773845,192,hc & pd,0.16326629534799147,0.1726892276241468
Right-VentralDC,0.14688981265552148,68.09703274085423,463.59261755307654,192,hc & pd,0.1428269847071767,0.15107025991125117
Right-WM-hypointensities,,0.0,0.0,192,hc & pd,,
Right-choroid-plexus,0.18942577538217797,43.092664064244694,227.49102637855188,192,hc & pd,0.18418644448205332,0.1948167854770576
Right-non-WM-hypointensities,,0.0,0.0,192,hc & pd,,
Right-vessel,0.24634229563414436,9.571429017942556,38.85418455366503,192,hc & pd,0.23952870968513815,0.2533531356313945
SubCortGrayVol,0.0631358677041982,340.2289098736057,5388.8371577885555,192,hc & pd,0.0613895916131995,0.06493269867641203
SupraTentorialVol,0.026815591084572064,2799.112140020808,104383.75686714711,192,hc & pd,0.02607389817244832,0.027578756086512415
SupraTentorialVolNotVent,0.028168298510631178,2808.031462951062,99687.64928741667,192,hc & pd,0.027389191039681526,0.02896996122691157
SurfaceHoles,0.3417805733852859,8.608999930752253,25.188675428452196,192,hc & pd,0.3323272584096074,0.351507562849293
TotalGrayVol,0.025857790582894724,1502.6193855470667,58110.89623956772,192,hc & pd,0.02514258949193137,0.026593696822594267
TotalVentricle,0.04862691627360907,33.205805603859126,682.8688337343873,192,hc & pd,0.04728194352902838,0.05001082612423523
WM-hypointensities,0.3141220144670864,721.389696831825,2296.527029650168,192,hc & pd,0.30543370806587816,0.32306184827586654
lhCerebralWhiteMatterVol,0.04737595401830835,1327.1319753355097,28012.775738988643,192,hc & pd,0.04606558166106071,0.04872426179665563
lhCortexVol,0.04221483940324465,969.7230787686425,22971.142197312474,192,hc & pd,0.04104721840719498,0.043416263153087865
lhSurfaceHoles,0.5020243408557905,7.495732760403389,14.931014595080327,192,hc & pd,0.4881388406573422,0.5163118277828916
non-WM-hypointensities,0.8854075967941761,0.8492462249789666,0.9591585028791936,192,hc & pd,0.8609180922812371,0.9106060751045867
rhCerebralWhiteMatterVol,0.043566219906185075,1212.0845753967267,27821.660405856044,192,hc & pd,0.04236122105269971,0.04480610360646891
rhCortexVol,0.03559389227915522,815.3276709954741,22906.392608064187,192,hc & pd,0.034609400177710026,0.03660688553314001
rhSurfaceHoles,0.3348301387269473,4.191255969582877,12.517558859899498,192,hc & pd,0.3255690659474602,0.344359320562445
