region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,,0.21320630937400456,0.22489911911456384
MeanThickness,0.3345052780562335,0.004671022862605743,0.013963973572400553,212,hc,,0.32569555323589333,0.3435575768716621
bankssts,0.4145555591123082,0.012304394999746547,0.029680931130423308,212,hc,,0.4036375837077236,0.4257741587663646
caudalanteriorcingulate,0.6379913800179937,0.02256170449712456,0.03536365098927863,212,hc,,0.6211888693719204,0.6552565444038893
caudalmiddlefrontal,0.3309259485892958,0.009725151548939187,0.029387697128002606,212,hc,,0.3222104910637149,0.3398813844790275
cuneus,0.432264958943476,0.01636797898177339,0.03786561608366156,212,hc,,0.42088057852384186,0.4439628059805488
eTIV,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,,0.0037144636577674237,0.003918174875160655
entoinalthickness,0.47957969348700447,0.03877228470846132,0.08084638535578856,212,hc,,0.4669492048035544,0.49255796012746755
frontalpole,0.511871457875416,0.03347868901290869,0.06540448485224398,212,hc,,0.49839051457469274,0.5257235962294136
fusiform,0.46327614654236865,0.011408858881601739,0.024626475951224802,212,hc,,0.45107503751777583,0.47581321064171844
inferiorparietal,0.3954928746506465,0.008883996747779654,0.022463101909553283,212,hc,,0.38507694514925384,0.40619560466888155
inferiortemporal,0.4310823454249614,0.011792186474500435,0.02735483510203993,212,hc,,0.4197291110001751,0.4427481888685036
insula,0.6725000878718598,0.02004069070821118,0.029800279687145253,212,hc,,0.6547887359008763,0.6906991183451389
isthmuscingulate,0.5918957277956178,0.019800438720828786,0.033452579214536746,212,hc,,0.5763072189549957,0.6079134630813398
lateraloccipital,0.36110236594639544,0.01013152351029514,0.028057206115894386,212,hc,,0.3515921648086223,0.3708744285532985
lateralorbitofrontal,0.5194345617666306,0.015320597680738388,0.029494759895514158,212,hc,,0.5057544321796508,0.5334913709610801
lingual,0.48168492215132824,0.01743331011660955,0.036192351711463004,212,hc,,0.46899898894597297,0.4947201599674182
medialorbitofrontal,0.5261085069942937,0.01738696078295987,0.033048241098196984,212,hc,,0.5122526085188127,0.5403459248381184
middletemporal,0.4124561726690868,0.00959277011709354,0.02325767136667345,212,hc,,0.4015934879222874,0.42361795924825385
paracentral,0.41106198108663855,0.014724800363108222,0.0358213628129348,212,hc,,0.4002360145771703,0.42218603839921937
parahippocampal,0.4483334528220713,0.015786286068169834,0.03521103760783804,212,hc,,0.4365258832373205,0.46046614145252096
parsopercularis,0.44459070985556765,0.010973725725561705,0.02468275985597336,212,hc,,0.4328817113181849,0.456622113304752
parsorbitalis,0.5123761881281043,0.01848001348742759,0.0360672761842071,212,hc,,0.4988819519589978,0.5262419853669333
parstriangularis,0.4710799623209695,0.01273636808938314,0.027036531179615825,212,hc,,0.45867332748238177,0.4838282113461266
pericalcarine,0.5008102697022943,0.03011158036772914,0.0601257246294668,212,hc,,0.4876206402623192,0.5143630729271763
postcentral,0.36767133178989814,0.010911242192296229,0.02967661943937294,212,hc,,0.3579881265615117,0.3776211621201366
posteriorcingulate,0.5718513229687985,0.015216090309970043,0.026608472690025177,212,hc,,0.5567907151877288,0.5873266215458258
precentral,0.2877939792603645,0.010773061586333874,0.037433241703043366,212,hc,,0.28021447027035007,0.2955821885008421
precuneus,0.38176563787182205,0.008277660589062383,0.02168257110620734,212,hc,,0.3717112368320065,0.3920968848152484
rostralanteriorcingulate,0.6417104010643383,0.024625237314724716,0.03837437771599369,212,hc,,0.624809944125131,0.6590762086747832
rostralmiddlefrontal,0.3626982579118732,0.009728925471741614,0.026823744695530092,212,hc,,0.35314602643861315,0.37251350815106893
superiorfrontal,0.4258475688889595,0.008115173209191338,0.019056521164049156,212,hc,,0.4146322005721347,0.43737175010907964
superiorparietal,0.27395691101566627,0.00708449271687343,0.025859879535830733,212,hc,,0.2667418230723523,0.2813706649494643
superiortemporal,0.34806219236579655,0.008122179878843021,0.023335426992619188,212,hc,,0.3388954247951172,0.35748136503164224
supramarginal,0.3762650900602278,0.008927588387550695,0.023726858067331408,212,hc,,0.36635555463467956,0.3864474825439325
temporalpole,0.4915542738595186,0.03925771771505192,0.07986446218199578,212,hc,,0.4786084156891238,0.5048565936221066
transversetemporal,0.4050629487853265,0.020226401598347665,0.04993397114942538,212,hc,,0.3943949762664763,0.4160246617746415
