region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,,0.023620946382623107,0.024916382867382406
MeanThickness,0.09141681105108213,0.00802112488731537,0.08774233967572227,212,hc_baseline & hc_followup,,0.08900920494694863,0.0938907101034279
bankssts,0.145917163716157,0.021385924626574526,0.14656209099688333,212,hc_baseline & hc_followup,,0.14207420474590196,0.14986593778613275
caudalanteriorcingulate,0.22233022072177022,0.03717466427563006,0.16720472887107593,212,hc_baseline & hc_followup,,0.21647480320732668,0.22834686597582607
caudalmiddlefrontal,0.15025838287905205,0.017859001767229755,0.11885527732322966,212,hc_baseline & hc_followup,,0.1463010910455545,0.15432463794458678
cuneus,0.17998340572430988,0.02258513935298195,0.12548456488025794,212,hc_baseline & hc_followup,,0.1752432584660288,0.18485407198076603
eTIV,0.0006702201819290965,111.8856339938664,166938.62257598047,212,hc_baseline & hc_followup,,0.0006525688748820339,0.0006883575141535919
entoinalthickness,0.2901811045686895,0.08230537173389986,0.2836344973468703,212,hc_baseline & hc_followup,,0.2825387268634183,0.29803391360181136
frontalpole,0.2791870530796634,0.06515873261055377,0.23338737198519496,212,hc_baseline & hc_followup,,0.27183422108452804,0.2867423438199524
fusiform,0.17880056609392134,0.02117376815566881,0.11842114719338494,212,hc_baseline & hc_followup,,0.17409157078550147,0.18363922263786345
inferiorparietal,0.13457406848879852,0.015080551133707666,0.112061345124324,212,hc_baseline & hc_followup,,0.13102984784681326,0.13821587853092218
inferiortemporal,0.16904359309640934,0.02221552898011824,0.13141893504031368,212,hc_baseline & hc_followup,,0.16459156308219067,0.17361820885863113
insula,0.29621587590597304,0.041041408918416886,0.1385523608175699,212,hc_baseline & hc_followup,,0.2884145629661247,0.30423199642328225
isthmuscingulate,0.21826992592547825,0.0306768389346861,0.140545422392088,212,hc_baseline & hc_followup,,0.21252144268738649,0.22417669248946276
lateraloccipital,0.12984034550514992,0.015800910070977486,0.12169491701137508,212,hc_baseline & hc_followup,,0.1264207949344532,0.13335405271073106
lateralorbitofrontal,0.24074986568195922,0.027139484421391025,0.11272897014714614,212,hc_baseline & hc_followup,,0.23440933772522138,0.24726497879644058
lingual,0.22098196615173316,0.02524587645416657,0.11424405753016044,212,hc_baseline & hc_followup,,0.21516205705084532,0.22696212527523177
medialorbitofrontal,0.246725106541085,0.029129776871451515,0.1180657180772188,212,hc_baseline & hc_followup,,0.24022721117893572,0.25340192014072843
middletemporal,0.14361526411678668,0.018386601320736832,0.12802679042378814,212,hc_baseline & hc_followup,,0.13983292930813632,0.14750174475110214
paracentral,0.17097302499851294,0.025288461058347627,0.14790906962409758,212,hc_baseline & hc_followup,,0.16647018034777825,0.1755998545680126
parahippocampal,0.1361504772392191,0.029219008242418788,0.21460819554146993,212,hc_baseline & hc_followup,,0.13256473938298755,0.13983494766370502
parsopercularis,0.15581661747049044,0.0196223931458967,0.1259326088862949,212,hc_baseline & hc_followup,,0.15171294075026703,0.16003328810106596
parsorbitalis,0.22053275543716372,0.03373106085818066,0.15295261146724135,212,hc_baseline & hc_followup,,0.2147246770099343,0.22650075813179218
parstriangularis,0.18466509428925684,0.02176270011074694,0.11784956000757862,212,hc_baseline & hc_followup,,0.1798016473682877,0.1896624552397308
pericalcarine,0.24865696748481392,0.035918214630395025,0.14444885656617942,212,hc_baseline & hc_followup,,0.24210819351350094,0.25538606062585684
postcentral,0.17221881082959367,0.019681690488712315,0.11428304721129953,212,hc_baseline & hc_followup,,0.16768315644138435,0.17687935354606818
posteriorcingulate,0.2134728359932906,0.024880066382408087,0.1165490975310323,212,hc_baseline & hc_followup,,0.20785069169515985,0.21924978490009797
precentral,0.15420296501146907,0.022949504027829602,0.14882660671357842,212,hc_baseline & hc_followup,,0.15014178637738126,0.15837596737968354
precuneus,0.12354081460026081,0.013585296040391609,0.10996605522109718,212,hc_baseline & hc_followup,,0.12028717212551937,0.1268840454639455
rostralanteriorcingulate,0.2612237801367719,0.04634765033507096,0.17742508094325943,212,hc_baseline & hc_followup,,0.25434403930605437,0.2682929532429026
rostralmiddlefrontal,0.15994942253178523,0.016305118423134885,0.10193921406558829,212,hc_baseline & hc_followup,,0.15573690186285738,0.1642779341072276
superiorfrontal,0.13209294305927805,0.014858648823079617,0.11248631818591283,212,hc_baseline & hc_followup,,0.12861406677420648,0.13566760950080717
superiorparietal,0.09977560292610765,0.01104440470018291,0.11069243759280747,212,hc_baseline & hc_followup,,0.0971478548359422,0.10247570552964519
superiortemporal,0.10610440068423263,0.015220131472228823,0.14344486537861922,212,hc_baseline & hc_followup,,0.10330997370930742,0.10897577164198528
supramarginal,0.13850453814548871,0.015611569990288727,0.11271522362602973,212,hc_baseline & hc_followup,,0.1348568023772509,0.14225271358197653
temporalpole,0.30229187556728526,0.08635511618985035,0.2856680022504578,212,hc_baseline & hc_followup,,0.29433054157982996,0.31047242327945446
transversetemporal,0.17901607542819334,0.03264639763687154,0.18236573200917153,212,hc_baseline & hc_followup,,0.1743014043410767,0.18386056403225326
